,region,district,location,type,latitude,longitude
38,Buxoro viloyati / Бухарская область / Bukhara region,ҒИЖДУВОН ТУМАНИ,"4Р58 \""С\"" 2,65 КМ, Ю.ҲАМАДОНИЙ КЎЧАСИ, ГИЖДУВОН САВДО МАРКАЗИ КАРШИСИДА",ПДД КАМЕРА,40.096694,64.686328
39,Buxoro viloyati / Бухарская область / Bukhara region,ҒИЖДУВОН ТУМАНИ,Ю.ХАМАДОНИЙ V1 (БЕК ЧОРРАХАСИ),ПДД КАМЕРА,40.095999,64.683131
40,Buxoro viloyati / Бухарская область / Bukhara region,ҒИЖДУВОН ТУМАНИ,Ю.ХАМАДОНИЙ R1 (ДИЛКУШО ЧОРРАХАСИ),ПДД КАМЕРА,40.093426,64.669169
41,Buxoro viloyati / Бухарская область / Bukhara region,БУХОРО ШАҲРИ,Бухоро шахри Навоий шох - Пиридастгир кўча кесишмаси (Семруғ сп. мажмуаси-5 кичик ноҳия йўналишида),ПДД КАМЕРА,39.748896,64.424319
42,Buxoro viloyati / Бухарская область / Bukhara region,ҒИЖДУВОН ТУМАНИ,Ю.ХАМАДОНИЙ R1 (БЕК ЧОРРАХАСИ),ПДД КАМЕРА,40.095999,64.683131
43,Buxoro viloyati / Бухарская область / Bukhara region,БУХОРО ШАҲРИ,Бухоро шахри Мустақиллик - Пиридастгир кўчалари кесишмаси (ДОЗ-5 айланма-Тўқимачи бозор йўналишида),ПДД КАМЕРА,39.749714,64.437167
44,Buxoro viloyati / Бухарская область / Bukhara region,ҒИЖДУВОН ТУМАНИ,Ю.ХАМАДОНИЙ R4 (ДИЛКУШО ЧОРРАХАСИ),ПДД КАМЕРА,40.093426,64.669169
45,Buxoro viloyati / Бухарская область / Bukhara region,БУХОРО ШАҲРИ,Бухоро шахри Мустақиллик - Пиридастгир кўчалари кесишмаси (Улгурчи бозор-Семруғ сп. мажмуа йўналиши),ПДД КАМЕРА,39.749696,64.438014
46,Buxoro viloyati / Бухарская область / Bukhara region,ҒИЖДУВОН ТУМАНИ,Ю.ХАМАДОНИЙ R2 (ДИЛКУШО ЧОРРАХАСИ),ПДД КАМЕРА,40.093426,64.669169
47,Buxoro viloyati / Бухарская область / Bukhara region,ҒИЖДУВОН ТУМАНИ,А.Х.ГИЖДУВОНИЙ R3 (ДИЛКУШО ЧОРРАХАСИ),ПДД КАМЕРА,40.093426,64.669169
48,Buxoro viloyati / Бухарская область / Bukhara region,ҒИЖДУВОН ТУМАНИ,Ю.ХАМАДОНИЙ R3 (БЕК ЧОРРАХАСИ),ПДД КАМЕРА,40.095999,64.683131
49,Buxoro viloyati / Бухарская область / Bukhara region,БУХОРО ШАҲРИ,Бухоро шахри Навоий шох-Пиридастгир кўча кесишмаси (БМИ-6 кичик ноҳия айланма ҳаракати йўналишида),ПДД КАМЕРА,39.749109,64.42367
50,Buxoro viloyati / Бухарская область / Bukhara region,БУХОРО ШАҲРИ,Бухоро шахри Навоий шох-Пиридастгир кўча кесишмаси (6 кичик ноҳия айланма ҳаракати-БМИ йўналишида),ПДД КАМЕРА,39.748477,64.423808
51,Buxoro viloyati / Бухарская область / Bukhara region,ҒИЖДУВОН ТУМАНИ,XXI АСР R2 (БЕК ЧОРРАХАСИ),ПДД КАМЕРА,40.095999,64.683131
52,Buxoro viloyati / Бухарская область / Bukhara region,БУХОРО ШАҲРИ,Бухоро шахри Мустақиллик - Пиридастгир кўчалари кесишмаси (Семруғ сп.мажмуа –Улгурчи бозор йўналиши),ПДД КАМЕРА,39.749269,64.437014
53,Buxoro viloyati / Бухарская область / Bukhara region,БУХОРО ШАҲРИ,Бухоро шахри Мустақиллик - Пиридастгир кўчалари кесишмаси (Тўқимачи бозор-ДОЗ-5 айланма йўналишида),ПДД КАМЕРА,39.749101,64.437741
54,Buxoro viloyati / Бухарская область / Bukhara region,БУХОРО ШАҲРИ,Бухоро шахри Навоий шох-Пиридастгир кўчалари кесишмаси (5 кичик ноҳия-Семруғ сп. мажмуаси йўналиши),ПДД КАМЕРА,39.748808,64.423138
55,Buxoro viloyati / Бухарская область / Bukhara region,ҒИЖДУВОН ТУМАНИ,НАВБАХОР R4 (БЕК ЧОРРАХАСИ),ПДД КАМЕРА,40.095999,64.683131
56,Jizzax viloyati / Джизакская область / Jizzakh region,ШАРОФ-РАШИДОВ ТУМАНИ,M-39 ТЕРМИЗ-ТОШКЕНТ А/ЙНИНГ 984 КМ Ш.РАШИДОВ ТУМАНИ ХУДУДИ,СТАЦИОНАР РАДАР,40.082021,67.929645
57,Jizzax viloyati / Джизакская область / Jizzakh region,ШАРОФ-РАШИДОВ ТУМАНИ,М-39 ТОШКЕНТ-ТЕРМИЗ А/ЙНИНГ 984 КМ Ш.РАШИДОВ ТУМАНИ ХУДУДИ,СТАЦИОНАР РАДАР,40.082021,67.929645
58,Jizzax viloyati / Джизакская область / Jizzakh region,ЗОМИН ТУМАНИ,ЗОМИН ШАҲАРЧАСИ МУСТАҚИЛЛИК КЎЧАСИ ЗОМИН-ДАШТОБОД А/ЙНИНГ 19 КМ,СТАЦИОНАР РАДАР,39.97834,68.411058
59,Jizzax viloyati / Джизакская область / Jizzakh region,ЗОМИН ТУМАНИ,ЗОМИН ШАҲАРЧАСИ МУСТАҚИЛЛИК КЎЧАСИ ЗОМИН-ДАШТОБОД А/ЙНИНГ 19 КМ,СТАЦИОНАР РАДАР,39.97834,68.411058
60,Jizzax viloyati / Джизакская область / Jizzakh region,ЖИЗЗАХ ШАҲРИ,"4Р38 Ғаллаорол-Жиззах а/йўлининг 30,6 км А.Темур МФЙ кириш",СТАЦИОНАР РАДАР,40.098397,67.792908
61,Jizzax viloyati / Джизакская область / Jizzakh region,ШАРОФ-РАШИДОВ ТУМАНИ,4Р36 Жиззах-Фориш а/йўлининг 10 км Ш.Рашидов т. Куёвбоши ҚФЙ,СТАЦИОНАР РАДАР,40.151761,67.750931
62,Jizzax viloyati / Джизакская область / Jizzakh region,ЗАРБДОР ТУМАНИ,А-376 Қўқон-Жиззах а/йўлининг 284 км Зарбдор т. Бўстон ш,СТАЦИОНАР РАДАР,40.095764,68.043594
63,Jizzax viloyati / Джизакская область / Jizzakh region,ЖИЗЗАХ ШАҲРИ,"4Р38 Ғаллаорол-Жиззах а/йўлининг 30,6 км А.Темур МФЙ кириш",СТАЦИОНАР РАДАР,40.098397,67.792908
64,Jizzax viloyati / Джизакская область / Jizzakh region,ШАРОФ-РАШИДОВ ТУМАНИ,Ш.РАШИДОВ ТУМАНИ А-376 ЖИЗЗАХ-ҚЎҚОН А/Й НИНГ 295 КМ ЯНГИХАЁТ ҚФЙ КИРИШ,СТАЦИОНАР РАДАР,40.095943,67.91247
65,Jizzax viloyati / Джизакская область / Jizzakh region,ҒАЛЛАОРОЛ ТУМАНИ,ГАЛЛАОРОЛ ТУМАНИ М-39 ТЕРМИЗ-ТОШКЕНТ А/Й НИНГ 1013 КМ,СТАЦИОНАР РАДАР,40.033754,67.626343
66,Jizzax viloyati / Джизакская область / Jizzakh region,ШАРОФ-РАШИДОВ ТУМАНИ,4Р38 Жиззах-Гагарин а/йўлининг 13 км Уч-тепа ҚФЙ кириш,СТАЦИОНАР РАДАР,40.182517,67.862276
67,Jizzax viloyati / Джизакская область / Jizzakh region,ШАРОФ-РАШИДОВ ТУМАНИ,4Р38 Жиззах-Гагарин а/йўлининг 13 км Уч-тепа ҚФЙ кириш,СТАЦИОНАР РАДАР,40.182517,67.862276
68,Jizzax viloyati / Джизакская область / Jizzakh region,ҒАЛЛАОРОЛ ТУМАНИ,ҒАЛЛАОРОЛ ТУМАНИ МУЛКИШ ҚФЙ МЎЛЛАБУЛОҚ ҚИШЛОҒИ ТОШКЕНТ-ТЕРМИЗ А/ЙНИНГ 1024 КМ,СТАЦИОНАР РАДАР,39.961351,67.547666
69,Jizzax viloyati / Джизакская область / Jizzakh region,ДЎСТЛИК ТУМАНИ,4Р35 ЖИЗЗАХ-ГАГАРИН А/ЙНИНГ 55 КМ ДЎСТЛИК ТУМАНИ. А.НАВОИЙ АЯЖ,СТАЦИОНАР РАДАР,40.540536,68.050547
70,Jizzax viloyati / Джизакская область / Jizzakh region,ЗАРБДОР ТУМАНИ,А-376 Қўқон-Жиззах а/йўлининг 274 км Зарбдор т. Зарбдор ш,СТАЦИОНАР РАДАР,40.087479,68.167528
71,Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region,ҒУЗОР ТУМАНИ,ҚАШҚАДАРЁ ВИЛ. ҒЎЗОР ТУМ. 4Р-79 А/Й НИНГ 22КМ КОВЧИН МФЙ МУСТАҚИЛЛИК КЎЧАСИ 9 УЙ РЎПАРАСИДА,СТАЦИОНАР РАДАР,38.847019,66.070395
72,Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region,ҚАРШИ ШАҲРИ,ИСЛОМ КАРИМОВ V3 (ЧЕВАР ЧОРРАХАСИ),ПДД КАМЕРА,38.845893,65.79673
73,Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region,ҚАРШИ ШАҲРИ,БУНЁДКОР R2 (ЧЕВАР ЧОРРАХАСИ),ПДД КАМЕРА,38.845893,65.79673
74,Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region,ҚАРШИ ШАҲРИ,ИСЛОМ КАРИМОВ R3 (ЧЕВАР ЧОРРАХАСИ),ПДД КАМЕРА,38.845893,65.79673
75,Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region,ҚАРШИ ШАҲРИ,ИСЛОМ КАРИМОВ R1 (ЧЕВАР ЧОРРАХАСИ),ПДД КАМЕРА,38.845893,65.79673
76,Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region,ҚАРШИ ШАҲРИ,БУНЁДКОР V2 (ЧЕВАР ЧОРРАХАСИ),ПДД КАМЕРА,38.845893,65.79673
77,Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region,ҚАРШИ ШАҲРИ,ИСЛОМ КАРИМОВ V1 (ЧЕВАР ЧОРРАХАСИ),ПДД КАМЕРА,38.845893,65.79673
78,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,АМУДАРЁ ТУМАНИ,"4Р181 КИПЧОК-МАНГИТ-ТУРКМАНИСТОН РЕС. ЧЕГАРАСИ А.Й. 15,6 КМ (70КМ/С)",СТАЦИОНАР РАДАР,42.135767,60.066425
79,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,БЕРУНИЙ ТУМАНИ,"4R171 А А/Й 1-2 КМ ОРАЛИҒИ \""ОБИХАЁТ\"" МФЙ",СТАЦИОНАР РАДАР,41.713654,60.70516
80,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,ЧИМБОЙ ТУМАНИ,4Р176 НУКУС-ЧИМБОЙ-ТАХТАКУПИР А.Й. 55 КМ (70КМ/С),СТАЦИОНАР РАДАР,42.875214,59.760614
81,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,НУКУС ШАҲРИ,"4P-176 НУКУС-ЧИМБОЙ-ТАХТАКУПИР А.Й 13 КМ \""НУКУС ШАХРИ\""",СТАЦИОНАР РАДАР,42.524557,59.619448
82,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,КУНГИРОТ ТУМАНИ,4Р173 КУНГРОТ-МОЙНОК А.Й. 3-4 КМ (50КМ/С),СТАЦИОНАР РАДАР,43.063258,58.860174
83,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,КАНЛИКОЛ ТУМАНИ,А-380 ГУЗОР-БУХОРО-НУКУС-БЕЙНЕУ А.Й. 847 КМ (70КМ/С),СТАЦИОНАР РАДАР,42.821412,58.991153
84,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,НУКУС ШАҲРИ,А.Дустназаров билан Беруний. (Туркистон чоррахаси),ПДД КАМЕРА,41.445938,59.630697
85,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,НУКУС ШАҲРИ,Ўзбекистон шох билан Беруний. (Карвонсарой чоррахаси),ПДД КАМЕРА,42.441583,59.624188
86,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,НУКУС ШАҲРИ,Режепова билан Қорақолпоғистон. (ФВВ чоррахаси),ПДД КАМЕРА,42.456578,59.585886
87,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,НУКУС ШАҲРИ,М.Жуманазаров билан А.Дустназаров (Тиббиёт колледжи чоррахаси),ПДД КАМЕРА,42.474216,59.617286
88,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,НУКУС ШАҲРИ,Т.Кайпбергенов билан И.Каримов (Манеж чоррахаси),ПДД КАМЕРА,42.471997,59.602172
89,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,НУКУС ШАҲРИ,Т.Кайпбергенов билан А.Дустназаров (Солиқ бошқармаси чоррахаси),ПДД КАМЕРА,42.465281,59.619812
90,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,НУКУС ШАҲРИ,Ещанов билан Беруний (Лас-Вегас ресторани чоррахаси),ПДД КАМЕРА,42.454621,59.641472
91,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,НУКУС ШАҲРИ,А.Темур билан А.Дустназаров (Юсель чоррахаси),ПДД КАМЕРА,42.457675,59.621973
92,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,НУКУС ШАҲРИ,Қорақолпоғистон билан Ўзбекистон шох (Ташкент меҳмонхонаси чоррахаси),ПДД КАМЕРА,42.458529,59.605798
93,Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan,ТЎРТКЎЛ ТУМАНИ,Турткул билан Нукус ( Тўрткўл чоррахаси ),ПДД КАМЕРА,41.553222,60.990336
94,Navoiy viloyati / Навоийская область / Navoi region,КАРМАНА ТУМАНИ,КАРМАНА ТУМАНИ М-37 АВТОМОБИЛ ЙЎЛИНИНГ 156 КМ 900 МЕТР КАРМАНА АЯЖ,СТАЦИОНАР РАДАР,40.144257,65.378177
95,Navoiy viloyati / Навоийская область / Navoi region,КАРМАНА ТУМАНИ,4N364G АВТОЙЎЛИНИНГ 1.9 КМ МАН AВТОСЕРВИС ҚАРШИСИДА,СТАЦИОНАР РАДАР,40.130964,65.350521
96,Navoiy viloyati / Навоийская область / Navoi region,ҚИЗИЛТЕПА ТУМАНИ,ҚИЗИЛТЕПА ТУМАНИ 4R65 АВТОМОБИЛ ЙЎЛИНИНГ 19 КМ 800 М АРАБОН АЯЖ,СТАЦИОНАР РАДАР,39.944957,64.657897
