,ID,Address,District,geoData
65534,PVN_hd_UAO_1407_8,"город Москва, Загорьевская улица, дом 5",район Бирюлёво Восточное,"{'coordinates': [37.6780636936829, 55.5811570393208], 'type': 'Point'}"
59714,PVN_hd_UAO_8126_7,"город Москва, Борисовский проезд, дом 8, корпус 2",район Орехово-Борисово Северное,"{'coordinates': [37.7201790280978, 55.6237341247574], 'type': 'Point'}"
8237,PVN_hd_SVAO_3797_4,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Алтуфьевское шоссе, дом 89",район Лианозово,"{'coordinates': [37.5855100174, 55.8945044877736], 'type': 'Point'}"
83585,PVN_hd_NAO_531_2,"город Москва, поселение Десеновское, улица Дмитрия Рябинкина, дом 4, корпус 1",поселение Десеновское,"{'coordinates': [37.3312078799371, 55.508420262318], 'type': 'Point'}"
17056,PVN_hd_SAO_2_7728_1,"город Москва, улица Приорова, дом 38А",район Коптево,"{'coordinates': [37.5201498243965, 55.8250947312023], 'type': 'Point'}"
47060,PVN_hd_UAO_7010_5,"город Москва, Востряковский проезд, дом 7, корпус 1",район Бирюлёво Западное,"{'coordinates': [37.6420320557639, 55.5821581842997], 'type': 'Point'}"
20622,PVN_hd_VAO_5305_5,"город Москва, Байкальская улица, дом 18, корпус 4",район Гольяново,"{'coordinates': [37.795528962060104, 55.8152191994328], 'type': 'Point'}"
80557,PVN_hd_UAO_1911_6,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Каширское шоссе, дом 5, корпус 1",район Нагатино-Садовники,"{'coordinates': [37.6285784219137, 55.6704413511794], 'type': 'Point'}"
28550,PVN_hd_SAO_2_6946_2,"город Москва, улица Лизы Чайкиной, дом 4, корпус 2",район Аэропорт,"{'coordinates': [37.527297736299, 55.8039079465322], 'type': 'Point'}"
35200,PVN_hd_SZAO_59_1,"город Москва, улица Героев Панфиловцев, дом 12, корпус 1",район Северное Тушино,"{'coordinates': [37.4296137118222, 55.8587798173412], 'type': 'Point'}"
4762,PVN_hd_VAO_739_3,"город Москва, Новокосинская улица, дом 20, корпус 2",район Новокосино,"{'coordinates': [37.8607610775017, 55.7386617972268], 'type': 'Point'}"
3849,PVN_hd_UZAO_9100_4,"город Москва, Профсоюзная улица, дом 104",район Коньково,"{'coordinates': [37.52348364674, 55.641906950558], 'type': 'Point'}"
